field of work for World,Count,Percentage,Percentage in 2018,Difference with previous year
Health sciences,6.0,0.6085192697768762,0.0,0.6085192697768762
Complementary Medicine,6.0,0.6085192697768762,0.5081300813008129,0.10038918847606326
Physical sciences,6.0,0.6085192697768762,0.0,0.6085192697768762
Built environment and design,5.0,0.5070993914807302,0.0,0.5070993914807302
Engineering,5.0,0.5070993914807302,0.0,0.5070993914807302
"Language, communication and culture",5.0,0.5070993914807302,0.0,0.5070993914807302
Town & Country Planning and Landscape Design,5.0,0.5070993914807302,0.6097560975609756,-0.10265670608024535
Ophthalmics,5.0,0.5070993914807302,0.6097560975609756,-0.10265670608024535
American Studies,5.0,0.5070993914807302,0.6097560975609756,-0.10265670608024535
Dentistry,5.0,0.5070993914807302,0.6097560975609756,-0.10265670608024535
Marketing,5.0,0.5070993914807302,0.8130081300813009,-0.30590873860057066
Counselling,4.0,0.4056795131845842,0.20325203252032523,0.20242748066425895
"History, heritage and archaeology",4.0,0.4056795131845842,0.0,0.4056795131845842
Environmental sciences,4.0,0.4056795131845842,0.0,0.4056795131845842
Iberian Languages/Hispanic Studies,4.0,0.4056795131845842,0.5081300813008129,-0.10245056811622877
"Commerce, management, tourism and services",4.0,0.4056795131845842,0.0,0.4056795131845842
Chemical sciences,4.0,0.4056795131845842,0.0,0.4056795131845842
Nursing,4.0,0.4056795131845842,0.40650406504065045,-0.0008245518560662801
Human society,4.0,0.4056795131845842,0.0,0.4056795131845842
Economics.1,3.0,0.3042596348884381,0.0,0.3042596348884381
Education.1,3.0,0.3042596348884381,0.0,0.3042596348884381
Physiotherapy,3.0,0.3042596348884381,0.20325203252032523,0.10100760236811288
Mathematical sciences,2.0,0.2028397565922921,0.0,0.2028397565922921
Psychology.1,2.0,0.2028397565922921,0.0,0.2028397565922921
Indigenous studies,2.0,0.2028397565922921,0.0,0.2028397565922921
Russian & East European Languages,2.0,0.2028397565922921,0.20325203252032523,-0.00041227592803314006
Land & Property Management,2.0,0.2028397565922921,0.6097560975609756,-0.4069163409686835
Fashion,1.0,0.10141987829614604,0.20325203252032523,-0.10183215422417918
Creative arts and writing,1.0,0.10141987829614604,0.0,0.10141987829614604
Law and legal studies,1.0,0.10141987829614604,0.0,0.10141987829614604
Philosophy and religious studies,1.0,0.10141987829614604,0.0,0.10141987829614604
Youth Work,1.0,0.10141987829614604,0.40650406504065045,-0.30508418674450444
"Hospitality, Leisure, Recreation & Tourism",1.0,0.10141987829614604,0.20325203252032523,-0.10183215422417918
02 Physical Sciences,0.0,0.0,3.6585365853658534,-3.6585365853658534
01 Mathematical Sciences,0.0,0.0,2.4390243902439024,-2.4390243902439024
04 Earth Sciences,0.0,0.0,2.2357723577235773,-2.2357723577235773
03 Chemical Sciences,0.0,0.0,1.0162601626016259,-1.0162601626016259
17 Psychology and Cognitive Sciences,0.0,0.0,0.3048780487804878,-0.3048780487804878
05 Environmental Sciences,0.0,0.0,2.1341463414634148,-2.1341463414634148
"15 Commerce, Management, Tourism and Services",0.0,0.0,0.20325203252032523,-0.20325203252032523
22 Philosophy and Religious Studies,0.0,0.0,0.3048780487804878,-0.3048780487804878
21 History and Archaeology,0.0,0.0,0.3048780487804878,-0.3048780487804878
"20 Language, Communication and Culture",0.0,0.0,0.5081300813008129,-0.5081300813008129
19 Studies in Creative Arts and Writing,0.0,0.0,0.3048780487804878,-0.3048780487804878
18 Law and Legal Studies,0.0,0.0,0.10162601626016261,-0.10162601626016261
16 Studies in Human Society,0.0,0.0,0.40650406504065045,-0.40650406504065045
14 Economics,0.0,0.0,0.20325203252032523,-0.20325203252032523
06 Biological Sciences,0.0,0.0,3.4552845528455287,-3.4552845528455287
13 Education,0.0,0.0,0.9146341463414633,-0.9146341463414633
12 Built Environment and Design,0.0,0.0,0.20325203252032523,-0.20325203252032523
11 Medical and Health Sciences,0.0,0.0,2.4390243902439024,-2.4390243902439024
10 Technology,0.0,0.0,2.642276422764228,-2.642276422764228
09 Engineering,0.0,0.0,2.33739837398374,-2.33739837398374
08 Information and Computing Sciences,0.0,0.0,4.573170731707317,-4.573170731707317
07 Agricultural and Veterinary Sciences,0.0,0.0,1.0162601626016259,-1.0162601626016259
