currentEmp13qaus[SQ017],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Information and computing sciences],,,,,,,,,,,,
currentEmp13qaus[SQ018],Rename,"currentEmp13. Please select the discipline in which you work. Please select all that apply. [Language, communication and culture]",,,,,,,,,,,,
currentEmp13qaus[SQ019],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Law and legal studies],,,,,,,,,,,,
currentEmp13qaus[SQ020],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Mathematical sciences],,,,,,,,,,,,
currentEmp13qaus[SQ021],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Philosophy and religious studies],,,,,,,,,,,,
currentEmp13qaus[SQ022],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Physical sciences],,,,,,,,,,,,
currentEmp13qaus[SQ023],Rename,currentEmp13. Please select the discipline in which you work. Please select all that apply. [Psychology],,,,,,,,,,,,
edu4,SearchReplace,edu4,,,,,,,,,,,,
prevEmp2[1],SearchReplace,prevEmp2\..*\[Rank 1\],,,,,,,,,,,,
prevEmp2[2],SearchReplace,prevEmp2\..*\[Rank 2\],,,,,,,,,,,,
prevEmp2[3],SearchReplace,prevEmp2\..*\[Rank 3\],,,,,,,,,,,,
prevEmp2[4],SearchReplace,prevEmp2\..*\[Rank 4\],,,,,,,,,,,,
prevEmp2[5],SearchReplace,prevEmp2\..*\[Rank 5\],,,,,,,,,,,,
rse1,SearchReplace,rse1,,,,,,,,,,,,
socio4,SearchReplace,socio4,,,,,,,,,,,,
paper2mod,,paper2mod,,,,,,"In general, when your software contributes to a paper, are you acknowledged in that paper?",,,,,,
conf1can,,conf1can,,,,,,Have you presented your software work at a conference or workshop?,,,,,,
conf2can,,conf2can,,,,,,At which conference(s)/workshop(s) have you presented your software work?,,,,,,
proj1can,,proj1can,,,,,,How many software projects are you currently involved in?,,,,,,
proj2can,SearchReplace,proj2can\..*(?<!_2017)$,,,,,,How many people who develop software typically work on your projects?,,,,,,
proj7can,,proj7can,,,,,,What percentage of these developers are dedicated to the project full time?,,,,,,
proj8can,,proj8can,,,,,,Do your research software projects typically include a project manager?,,,,,,
stability1,,stability1,,,,,,What is the bus factor of your most important software project? (The bus factor designates the minimal number of developers that have to be hit by a bus (or quit) before a project is incapacitated),,,,,,
stability2,,stability2,,,,,,Do the projects you work on typically have a plan to cope with developers leaving the group?,,,,,,
proj4can[SQ001],SearchReplace,proj4can\..*\[No formal testing\],There are more choices now than in 2018,,,,,How do you test the software that you produce? Please check all that apply,,,,,,
proj4can[SQ002],SearchReplace,proj4can\..*\[No formal testing but users provide feedback\],There are more choices now than in 2018,,,,,How do you test the software that you produce? Please check all that apply,,,,,,
proj4can[SQ003],SearchReplace,proj4can\..*\[The developers do their own testing\],There are more choices now than in 2018,,,,,How do you test the software that you produce? Please check all that apply,,,,,,
proj4can[SQ004],SearchReplace,proj4can\..*\[Test engineers conduct testing\],There are more choices now than in 2018,,,,,How do you test the software that you produce? Please check all that apply,,,,,,
proj4can[SQ006],Rename,proj4can. How are your projects typically tested? Please check all that apply. [Automated testing with continuous integration],There are more choices now than in 2018,,,,,How do you test the software that you produce? Please check all that apply,,,,,,
proj4can[SQ005],Rename,proj4can. How are your projects typically tested? Please check all that apply. [Don't know],There are more choices now than in 2018,,,,,How do you test the software that you produce? Please check all that apply,,,,,,
proj4can[other],Delete,,,,,,,How do you test the software that you produce? Please check all that apply,,,,,,
proj5can,,proj5can,,,,,,What development methodology does your current project use?,,,,,,
proj5can[other],Ignore,,,,,,,What development methodology does your current project use? [Other],,,,,,
open1can,,open1can,,,,,,How often do you use an open-source licence for your software?,,,,,,
likert2[open2de],SearchReplace,open2de\..*(?<!_2017)$,,,,,,[How often do you reference software directly or the papers describing the software?],,,,,,
likert2[open3can],SearchReplace,open3can,,,,,,[How often do you associate your software with a Digital Object Identifier (DOI)? ],,,,,,
open3de,,open3de,,,,,,"Which tools do you use to mint a DOI (eg local library, Zenodo)?",,,,,,
open1de,,open1de,,,,,,Do you have an ORCID ID?,,,,,,
proj5zaf[SQ001],SearchReplace,proj5zaf\..*CVS,Multiple choice question,,,,,Which version control tools do you use for software development? [CVS],,,,,,
proj5zaf[SQ002],SearchReplace,proj5zaf\..*SVN,Multiple choice question,,,,,Which version control tools do you use for software development? [SVN],,,,,,
proj5zaf[SQ003],SearchReplace,proj5zaf\..*Git,Multiple choice question,,,,,Which version control tools do you use for software development? [Git],,,,,,
proj5zaf[SQ004],SearchReplace,proj5zaf\..*Mercurial,Multiple choice question,,,,,Which version control tools do you use for software development? [Mercurial],,,,,,
proj5zaf[SQ005],SearchReplace,proj5zaf\..*None,Multiple choice question,,,,,Which version control tools do you use for software development? [None],,,,,,
proj5zaf[other],Delete,,,,,,,Which version control tools do you use for software development? [Other],,,,,,
proj6zaf,,proj6zaf,,,,,,Which online collaboration tools and open repositories do you use for software development?,,,,,,
train2,,train2,,,,,,"On average, how many times a year do you take part in providing training?",,,,,,
train3,,train3,,,,,,What training programs are you involved with,,,,,,
fund2[SQ001],Delete,fund2,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [I volunteer my time],,,,,,
fund2[SQ002],SearchReplace,fund2\..*Donation button,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Donation button],,,,,,
fund2[SQ003],SearchReplace,fund2\..*Crowdfunding \(one-time\),Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Crowdfunding (one-time)],,,,,,
fund2[SQ004],SearchReplace,fund2\..*Crowdfunding \(recurring\),Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Crowdfunding (recurring)],,,,,,
fund2[SQ005],SearchReplace,fund2\..*Books & merchandise,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Books &amp; merchandise],,,,,,
fund2[SQ006],SearchReplace,fund2\..*Advertising & sponsorships,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Advertising &amp; sponsorships],,,,,,
fund2[SQ007],SearchReplace,fund2\..*Industry support,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Industry support],,,,,,
fund2[SQ008],SearchReplace,fund2\..*Consulting & services,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Consulting &amp; services],,,,,,
fund2[SQ009],SearchReplace,fund2\..*Grants,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Grants],,,,,,
fund2[SQ010],SearchReplace,fund2\..*SaaS,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [SaaS],,,,,,
fund2[SQ011],SearchReplace,fund2\..*Membership,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Membership],,,,,,
fund2[SQ012],SearchReplace,fund2\..*Dual license,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Dual license],,,,,,
fund2[SQ013],SearchReplace,fund2\..*Open core,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Open core],,,,,,
fund2[SQ014],SearchReplace,fund2\..*Foundations & consortiums,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Foundations &amp; consortiums],,,,,,
fund2[SQ015],SearchReplace,fund2\..*Venture capital,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Venture capital],,,,,,
fund2[SQ016],SearchReplace,fund2\..*Trademark licensing & franchising,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Trademark licensing &amp; franchising],,,,,,
fund2[SQ017],SearchReplace,fund2\..*Institutional support,Multiple choice question,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Institutional support],,,,,,
fund2[other],Ignore,,,,,,,Which of the following sources are used to pay for your effort as a Research Software Engineer? [Other],,,,,,
fund1can,,fund1can,,,,,,How is your current research software work funded?,,,,,,
fund1can[other],Ignore,,,,,,,How is your current research software work funded? [Other],,,,,,
proj6uk,,proj6uk,"Could we take a look at your code? If so, please enter your Github ID here (if you use it for your professional work)",We will not share this information with anyone,,,,We're interested in the difference in coding habits between people who identify as RSEs and other researchers who code,,,,,,
likert4[recog1],SearchReplace,recog1\..*line manager,,,,,,[Do you feel that your contribution to research is recognised by your supervisor/line manager],,,,,,
likert4[recog2],SearchReplace,recog2\..*researchers you work with,,,,,,[Do you feel that your contribution to research is recognised by the researchers you work with],,,,,,
likert4[recog3],SearchReplace,recog3\..*your institution,,,,,,[Do you feel that your contribution to research is recognised by your institution?],,,,,,
turnOver3,,turnOver3,,,,,,How often do you consider leaving your job?,,,,,,
turnOver6,SearchReplace,turnOver6\..*offered it$,,,,,,I would accept another job at the same compensation level if I was offered it,,,,,,
likert5[percEmp1],SearchReplace,percEmp1\..*institution$,,,,,,[It would not be very difficult for me to get an equivalent job in a different institution],,,,,,
likert5[percEmp3],SearchReplace,percEmp3\..*market$,,,,,,[My experience is in demand on the labour market],,,,,,
likert5[progRSE1],SearchReplace,progRSE1,,,,,,[It is likely that I will gain a promotion within my current group ],,,,,,
likert5[progRSE2],SearchReplace,progRSE2,,,,,,[The process I have to complete to gain a promotion is clear and understandable],,,,,,
likert5[progRSE3],SearchReplace,progRSE3,,,,,,[There are many opportunities within my chosen career plan],,,,,,
likert5[progRSE5],SearchReplace,progRSE5,,,,,,[It is likely that my next position will be an Research Software Engineer / Research Software Developer role],,,,,,
likert3[satisGen1],SearchReplace,satisGen1\..*position$,,,,,,"[In general, how satisfied are you with your current position?]",,,,,,
likert3[satisGen2],SearchReplace,satisGen2,,,,,,"[In general, how satisfied are you with your career?]",,,,,,
socio1,SearchReplace,socio1,,,,,,,,,,,,
socio2,Delete,socio2,,,,,,What best describes your gender?,,,,,,
socio20,Delete,soco20,,,,,,How do you describe your gender?,,,,,,
socio5quk[SQ001],Delete,,,,,,,,,,,,,
socio5quk[SQ002],Delete,,,,,,,,,,,,,
socio5quk[SQ003],Delete,,,,,,,,,,,,,
socio5quk[SQ004],Delete,,,,,,,,,,,,,
socio5quk[SQ005],Delete,,,,,,,,,,,,,
socio5quk[SQ006],Delete,,,,,,,,,,,,,
socio5quk[SQ007],Delete,,,,,,,,,,,,,
socio5quk[SQ008],Delete,,,,,,,,,,,,,
socio5quk[SQ009],Delete,,,,,,,,,,,,,
socio5quk[SQ010],Delete,,,,,,,,,,,,,
socio5quk[SQ011],Delete,,,,,,,,,,,,,
socio5quk[SQ012],Delete,,,,,,,,,,,,,
socio5quk[SQ013],Delete,,,,,,,,,,,,,
socio5quk[SQ014],Delete,,,,,,,,,,,,,
socio5quk[SQ015],Delete,,,,,,,,,,,,,
socio5quk[SQ016],Delete,,,,,,,,,,,,,
socio5quk[SQ017],Delete,,,,,,,,,,,,,
socio5quk[SQ018],Delete,,,,,,,,,,,,,
socio5quk[SQ019],Delete,,,,,,,,,,,,,
socio5quk[other],Delete,,,,,,,,,,,,,
socio5qus[SQ001],Delete,,,,,,,,,,,,,
socio5qus[SQ002],Delete,,,,,,,,,,,,,
socio5qus[SQ003],Delete,,,,,,,,,,,,,
socio5qus[SQ004],Delete,,,,,,,,,,,,,
socio5qus[SQ005],Delete,,,,,,,,,,,,,
socio5qus[SQ006],Delete,,,,,,,,,,,,,
socio5qus[SQ007],Delete,,,,,,,,,,,,,
socio5qus[SQ008],Delete,,,,,,,,,,,,,
socio5qus[SQ009],Delete,,,,,,,,,,,,,
socio5qus[SQ010],Delete,,,,,,,,,,,,,
socio5qus[SQ011],Delete,,,,,,,,,,,,,
socio5qus[SQ012],Delete,,,,,,,,,,,,,
socio5qus[SQ013],Delete,,,,,,,,,,,,,
socio5qus[SQ014],Delete,,,,,,,,,,,,,
socio5qus[SQ015],Delete,,,,,,,,,,,,,
socio5qus[SQ016],Delete,,,,,,,,,,,,,
socio5qus[other],Delete,,,,,,,,,,,,,
socio5usqus,Delete,,,,,,,,,,,,,
disa1,Delete,disa1,,,,,,,,,,,,
socio3,,socio3,Summary data: Simon will prepare a file with socio1 and all socio3 columns,,,,,Please select your age,,,,,,
socio4qde,,socio4qde,Summary data: Simon will prepare a file with socio1 and all socio4 columns,,,,,Please select the range of your (gross) salary,,,,,,
socio4qnl,,socio4qnl,Summary data: Simon will prepare a file with socio1 and all socio4 columns,,,,,Please select the range of your (gross) salary,,,,,,
socio4quk,,socio4quk,Summary data: Simon will prepare a file with socio1 and all socio4 columns,,,,,Please select the range of your (gross) salary,,,,,,
socio4qus,,socio4qus,Summary data: Simon will prepare a file with socio1 and all socio4 columns,,,,,Please select the range of your (gross) salary,,,,,,
socio4qzaf,,socio4qzaf,Summary data: Simon will prepare a file with socio1 and all socio4 columns,,,,,Please select the range of your (gross) salary,,,,,,
socio4qnzl,,socio4qnzl,Summary data: Simon will prepare a file with socio1 and all socio4 columns,,,,,Please select the range of your (gross) salary,,,,,,
socio4qaus,,socio4qaus,Summary data: Simon will prepare a file with socio1 and all socio4 columns,,,,,Please select the range of your (gross) salary,,,,,,
socio10deqde,Ignore,,,,,,,Please select your remuneration group according to your collective bargaining agreement,,,,,,
socio11ausnzlqnzl,Ignore,,,,,,,What is the category of your pay-scale?,,,,,,
socio11ausnzlqnzl[other],Ignore,,,,,,,What is the category of your pay-scale? [Other],,,,,,
socio11ausnzlqaus,Ignore,,,,,,,What is the category of your pay-scale?,,,,,,
socio11ausnzlqaus[other],Ignore,,,,,,,What is the category of your pay-scale? [Other],,,,,,
socio12ausnzlqnzl,Ignore,,,,,,,What is your academic pay-level?,,,,,,
socio12ausnzlqnzl[other],Ignore,,,,,,,What is your academic pay-level? [Other],,,,,,
socio12ausnzlqaus,Ignore,,,,,,,What is your academic pay-level?,,,,,,
socio12ausnzlqaus[other],Ignore,,,,,,,What is your academic pay-level? [Other],,,,,,
socio13ausnzlqnzl,Ignore,,,,,,,What is your pay-level?,,,,,,
socio13ausnzlqnzl[other],Ignore,,,,,,,What is your pay-level? [Other],,,,,,
socio13ausnzlqaus,Ignore,,,,,,,What is your pay-level?,,,,,,
socio13ausnzlqaus[other],Ignore,,,,,,,What is your pay-level? [Other],,,,,,
socio14ausnzlqnzl,Ignore,,,,,,,What is your government pay-level?,,,,,,
socio14ausnzlqaus,Ignore,,,,,,,What is your government pay-level?,,,,,,
ukrse1,SearchReplace,ukrse1\.,Belgium: be-rse,"org, @rse_be",Germany: de-rse,"org, @RSE_de",Netherlands: nl-rse,"Are you a member of any of the following associations of Research Software Engineers (called ""Research Software Developers"" in Canada)?  Australia/New Zealand: @rse_aunz",Nordic: nordic-rse,"org, @nordic_rse",UK: society-rse,"org, @ResearchSoftEng",USA: us-rse,"org, @us_rse"
org1can,,org1can,,,,,,Would you be interested in joining such an organisation?,,,,,,
org2can[SQ001],SearchReplace,org2can\..*\[Networking\],,,,,,What would you hope to get out of such an organisation (check all that apply)? [Networking],,,,,,
org2can[SQ002],SearchReplace,org2can\..*\[Research collaborations\],,,,,,What would you hope to get out of such an organisation (check all that apply)? [Research collaborations],,,,,,
org2can[SQ003],SearchReplace,org2can\..*\[Training\],,,,,,What would you hope to get out of such an organisation (check all that apply)? [Training],,,,,,
org2can[SQ004],SearchReplace,org2can\..*\[Research software standards and interoperability definition\],,,,,,What would you hope to get out of such an organisation (check all that apply)? [Research software standards and interoperability definition],,,,,,
org2can[SQ005],SearchReplace,org2can\..*\[Job opportunities\],,,,,,What would you hope to get out of such an organisation (check all that apply)? [Job opportunities],,,,,,
org2can[other],Ignore,,,,,,,What would you hope to get out of such an organisation (check all that apply)? [Other],,,,,,
org3us,Ignore,,,,,,,What specific activities or forums would you like to see your national association provide?,,,,,,
org4us,Ignore,,,,,,,What would a national organization need to provide in order for you to pay membership dues?,,,,,,
org5us,Ignore,,,,,,,How much would you be willing to pay as an annual membership fee to join a national association?,,,,,,
tool2,,tool2,,,,,,Which operating system do you primarily use for development?,,,,,,
tool2[other],Ignore,,,,,,,Which operating system do you primarily use for development? [Other],,,,,,
tool4can[SQ001],SearchReplace,tool4can\..*Assembly,Multiple choice question,,,,,What programming languages do you use at work? Please select all that apply. [Assembly],,,,,,
tool4can[SQ002],SearchReplace,tool4can\..*\[C\],Multiple choice question,,,,,What programming languages do you use at work? Please select all that apply. [C],,,,,,
tool4can[SQ003],SearchReplace,tool4can\..*\[C#\],Multiple choice question,,,,,What programming languages do you use at work? Please select all that apply. [C#],,,,,,
tool4can[SQ004],SearchReplace,tool4can\..*\[C\+\+\],Multiple choice question,,,,,What programming languages do you use at work? Please select all that apply. [C++],,,,,,
tool4can[SQ005],SearchReplace,tool4can\..*Clojure,Multiple choice question,,,,,What programming languages do you use at work? Please select all that apply. [Clojure],,,,,,
tool4can[SQ006],SearchReplace,tool4can\..*CoffeeScript,Multiple choice question,,,,,What programming languages do you use at work? Please select all that apply. [CoffeeScript],,,,,,
tool4can[SQ007],SearchReplace,tool4can\..*Common Lisp,Multiple choice question,,,,,What programming languages do you use at work? Please select all that apply. [Common Lisp],,,,,,
tool4can[SQ008],SearchReplace,tool4can\..*Dart,Multiple choice question,,,,,What programming languages do you use at work? Please select all that apply. [Dart],,,,,,
tool4can[SQ009],SearchReplace,tool4can\..*Elixir,Multiple choice question,,,,,What programming languages do you use at work? Please select all that apply. [Elixir],,,,,,
tool4can[SQ010],SearchReplace,tool4can\..*Erlang,Multiple choice question,,,,,What programming languages do you use at work? Please select all that apply. [Erlang],,,,,,
tool4can[SQ011],SearchReplace,tool4can\..*\[F#\],Multiple choice question,,,,,What programming languages do you use at work? Please select all that apply. [F#],,,,,,
